Customer ID,Age,Gender,Location,Product Purchased,Purchase Amount,Date of Purchase,Customer Rating,Customer Segment,Num Purchases Last Year,Total Spend Last Year,Preferred Payment Method,Acquisition Channel,Last Interaction Date,Last Interaction Type
1,56,Male,City_E,Product_4,201.24,2022-09-15,3,Silver,3,720.23,Online Transfer,In-Store,2023-01-20,Complaint
2,69,Male,City_E,Product_5,499.29,2023-06-12,1,Silver,4,264.01,Credit Card,Online Ad,2022-11-30,Feedback
3,46,Male,City_B,Product_4,473.61,2023-07-27,2,Silver,5,2365.31,Credit Card,In-Store,2023-06-14,Feedback
4,32,Female,City_D,Product_1,795.87,2023-03-21,1,Silver,8,3112.7,Online Transfer,In-Store,2023-03-25,Complaint
5,60,Male,City_D,Product_4,832.64,2023-04-05,2,Silver,7,2199.36,Cash,Online Ad,2022-10-09,Inquiry
6,25,Male,City_A,Product_5,715.58,2023-04-16,3,Silver,15,2933.38,Credit Card,Referral,2023-03-12,Feedback
7,38,Female,City_C,Product_2,839.64,2023-05-29,1,Gold,12,5057.14,Online Transfer,Online Ad,2022-09-27,Complaint
8,56,Male,City_B,Product_2,153.41,2023-06-17,5,Silver,14,5138.61,Cash,Online Ad,2022-11-12,Complaint
9,36,Female,City_B,Product_4,484.87,2022-08-27,5,Gold,12,1350.61,Online Transfer,In-Store,2023-07-03,Feedback
10,40,Male,City_E,Product_2,322.13,2022-11-02,4,Gold,15,4557.67,Cash,Referral,2022-09-29,Inquiry
11,28,Male,City_E,Product_3,289.21,2023-06-25,1,Bronze,15,2530.7,Cash,Online Ad,2023-03-16,Inquiry
12,28,Male,City_B,Product_2,727.06,2022-10-10,4,Bronze,8,3014.39,Online Transfer,In-Store,2023-05-30,Complaint
13,41,Male,City_C,Product_4,839.67,2023-01-04,1,Silver,19,4561.83,Credit Card,In-Store,2023-07-06,Feedback
14,53,Male,City_D,Product_1,159.0,2023-07-23,2,Silver,12,1970.04,Credit Card,In-Store,2022-12-15,Complaint
15,57,Female,City_A,Product_5,167.89,2023-07-24,2,Bronze,11,5095.55,Online Transfer,In-Store,2022-10-02,Feedback
16,41,Male,City_D,Product_2,657.43,2023-06-22,3,Silver,18,8276.98,Credit Card,Referral,2023-03-28,Inquiry
